CITY_NAME,NICKNAME
New York,The Big Apple
Buenos Aires,The Queen of El Plata
Sao Paulo,Land of Drizzle
Rio de Janeiro,Marvellous Princess
London,The Smoke
Lima,City of the Kings
Mexico City,CDMX
Bogota,The South American Athens
Lagos,Eko akete Lasgidi
Cairo,City of a Thousand Minarets
Istanbul,The Sublime Porte
Baghdad,The City of Peace
Moscow,The Third Rome
Tehran,The City of 72 Nations
Karachi,Paris of Asia
Lahore,The Heart of Pakistan
Delhi,City of Rallies
Mumbai,City of Seven Islands
Bangalore,Garden City
Bangkok,City of Angels
Dhaka,Venice of the East
Tokyo,Unknown
Taipei,The City of Azaleas
Jakarta,Big Durian
Shanghai,Magic City
Beijing,The Celestial City
Seoul,Unknown
Kinshasa,Kin la belle
Hong Kong,Fragrant Harbour
Manila,The Pearl of the Orient
